nOld,nCommon,nNew,setupTime,resharingTime
8,8,0,287,358
8,8,1,298,388
8,8,1,287,374
8,8,1,278,391
8,7,1,290,362
8,6,2,280,426
8,8,2,304,434
16,16,0,806,862
16,16,1,853,933
16,16,1,810,917
16,15,1,838,895
16,15,1,839,945
16,12,4,832,945
16,16,4,849,1031
32,32,0,2743,3163
32,32,1,2751,3336
32,32,1,2785,3442
32,31,1,2735,3298
32,24,8,2823,3822
32,32,8,2829,4597
64,64,0,17975,24126
64,64,1,18046,23881
64,63,1,18695,23856
64,48,16,18947,28381
64,64,16,18301,35599
128,128,0,147121,186109
128,128,1,146701,191571
128,127,1,150155,192511
128,96,32,150664,227451




128,128,32,146724,283572
